Run	Num W	Num R	JSD	Same states
1	5	479	1.0	False
2	5	168	1.0	False
3	5	191	1.0	False
4	5	1015	1.0	False
5	5	677	1.0	False
6	5	155	1.0	False
7	5	440	1.0	False
8	5	991	1.0	False
9	5	658	1.0	False
10	5	292	1.0	False
11	5	905	1.0	False
12	5	1019	0.9999999999999998	False
13	5	124	0.9999999999999998	False
14	5	65	1.0	False
15	5	461	1.0	False
16	5	256	1.0	False
17	5	671	1.0	False
18	5	846	0.9999999999999998	False
19	5	66	0.9999999999999998	False
20	5	480	1.0	False
21	5	998	1.0	False
22	5	282	1.0	False
23	5	6	1.0	False
24	5	196	0.9999999999999998	False
25	5	468	0.9999999999999998	False
26	5	55	1.0	False
27	5	938	0.9999999999999998	False
28	5	855	1.0	False
29	5	205	1.0	False
30	5	83	1.0	False
31	5	244	1.0	False
32	5	888	1.0	False
33	5	455	1.0	False
34	5	757	0.9999999999999998	False
35	5	642	1.0	False
36	5	316	1.0	False
37	5	528	1.0	False
38	5	851	0.9999999999999998	False
39	5	111	1.0	False
40	5	52	1.0	False
41	5	152	1.0	False
42	5	691	0.9999999999999998	False
43	5	73	0.9999999999999998	False
44	5	227	1.0	False
45	5	78	0.9999999999999998	False
46	5	1014	0.9999999999999998	False
47	5	22	0.9999999999999998	False
48	5	992	1.0	False
49	5	952	1.0	False
50	5	410	1.0	False
51	5	94	0.9999999999999998	False
52	5	263	1.0	False
53	5	878	0.9999999999999998	False
54	5	14	1.0	False
55	5	72	1.0	False
56	5	22	0.9999999999999998	False
57	5	355	0.9999999999999998	False
58	5	410	0.9999999999999998	False
59	5	793	1.0	False
60	5	387	1.0	False
61	5	964	0.9999999999999998	False
62	5	149	1.0	False
63	5	36	0.9999999999999998	False
64	5	125	1.0	False
65	5	35	1.0	False
66	5	56	0.9999999999999998	False
67	5	92	0.9999999999999998	False
68	5	181	1.0	False
69	5	344	1.0	False
70	5	144	1.0	False
71	5	65	0.9999999999999998	False
72	5	192	1.0	False
73	5	232	1.0	False
74	5	715	1.0	False
75	5	154	1.0	False
76	5	27	0.9999999999999998	False
77	5	241	1.0	False
78	5	227	1.0	False
79	5	780	0.9999999999999998	False
80	5	603	1.0	False
81	5	1020	0.9999999999999998	False
82	5	170	1.0	False
83	5	87	0.9999999999999998	False
84	5	112	0.9999999999999998	False
85	5	126	1.0	False
86	5	898	1.0	False
87	5	601	1.0	False
88	5	831	0.9999999999999998	False
89	5	27	1.0	False
90	5	144	1.0	False
91	5	155	1.0	False
92	5	989	0.9999999999999998	False
93	5	331	0.9999999999999998	False
94	5	38	0.9999999999999998	False
95	5	28	0.9999999999999998	False
96	5	32	0.9999999999999998	False
97	5	146	1.0	False
98	5	91	1.0	False
99	5	149	1.0	False
100	5	48	0.9999999999999998	False
101	5	868	1.0	False
102	5	583	1.0	False
103	5	141	1.0	False
104	5	81	0.9999999999999998	False
105	5	76	0.9999999999999998	False
106	5	273	1.0	False
107	5	44	1.0	False
108	5	201	0.9999999999999998	False
109	5	130	1.0	False
110	5	140	1.0	False
111	5	378	0.9999999999999998	False
112	5	47	0.9999999999999998	False
113	5	73	0.9999999999999998	False
114	5	425	1.0	False
115	5	33	1.0	False
116	5	95	1.0	False
117	5	34	1.0	False
118	5	747	1.0	False
119	5	105	0.9999999999999998	False
120	5	713	1.0	False
121	5	120	1.0	False
122	5	544	1.0	False
123	5	918	1.0	False
124	5	255	1.0	False
125	5	943	1.0	False
126	5	753	0.9999999999999998	False
127	5	110	0.9999999999999998	False
128	5	307	0.9999999999999998	False
129	5	88	0.9999999999999998	False
130	5	34	1.0	False
131	5	98	0.9999999999999998	False
132	5	89	0.9999999999999998	False
133	5	52	1.0	False
134	5	197	1.0	False
135	5	720	1.0	False
136	5	74	0.9999999999999998	False
137	5	120	1.0	False
138	5	1022	1.0	False
139	5	234	1.0	False
140	5	60	0.9999999999999998	False
141	5	1020	0.9999999999999998	False
142	5	132	1.0	False
143	5	69	1.0	False
144	5	307	0.9999999999999998	False
145	5	275	1.0	False
146	5	81	0.9999999999999998	False
147	5	237	1.0	False
148	5	243	1.0	False
149	5	1019	0.9999999999999998	False
150	5	162	1.0	False
151	5	772	1.0	False
152	5	80	0.9999999999999998	False
153	5	72	0.9999999999999998	False
154	5	59	1.0	False
155	5	269	0.9999999999999998	False
156	5	361	0.9999999999999998	False
157	5	1011	0.9999999999999998	False
158	5	45	1.0	False
159	5	604	0.9999999999999998	False
160	5	124	1.0	False
161	5	168	1.0	False
162	5	65	1.0	False
163	5	90	0.9999999999999998	False
164	5	110	1.0	False
165	5	28	1.0	False
166	5	325	0.9999999999999998	False
167	5	49	0.9999999999999998	False
168	5	371	1.0	False
169	5	103	0.9999999999999998	False
170	5	47	0.9999999999999998	False
171	5	51	1.0	False
172	5	112	0.9999999999999998	False
173	5	330	1.0	False
174	5	28	0.9999999999999998	False
175	5	624	1.0	False
176	5	363	1.0	False
177	5	1003	0.9999999999999998	False
178	5	472	1.0	False
179	5	54	1.0	False
180	5	84	1.0	False
181	5	1011	0.9999999999999998	False
182	5	32	1.0	False
183	5	813	0.9999999999999998	False
184	5	423	1.0	False
185	5	778	1.0	False
186	5	58	0.9999999999999998	False
187	5	84	0.9999999999999998	False
188	5	140	1.0	False
189	5	405	1.0	False
190	5	49	0.9999999999999998	False
191	5	142	1.0	False
192	5	137	1.0	False
193	5	15	0.9999999999999998	False
194	5	119	1.0	False
195	5	239	1.0	False
196	5	831	1.0	False
197	5	51	1.0	False
198	5	171	1.0	False
199	5	214	1.0	False
200	5	1013	0.9999999999999998	False
201	5	858	1.0	False
202	5	46	0.9999999999999998	False
203	5	778	0.9999999999999998	False
204	5	1024	1.0	False
205	5	148	1.0	False
206	5	66	0.9999999999999998	False
207	5	813	0.9999999999999998	False
208	5	167	0.9999999999999998	False
